Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
10.26.25 MIA v NYK Team,332.892220139328,10.102170623999300,Miami Heat,1,,,+ve DM Catch: Drive a Swing/Skip Pass,-ve Driving: Paint Touch,-ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,,"-ve Relocate: 45 Cut, -ve Relocate: Fill Behind",Short 2,Miss Long,6z5,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,350.5952128416650,8.996555366997310,Miami Heat,2,,,,,+ve Finishing: Earn a Foul,,,,,,-ve Relocate: Fill Behind,,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,378.3917959843310,15.804172398331200,Miami Heat,3,,"-ve Cutting & Screening: Denial, +ve Cutting & Screening: Denial",+ve DM Catch: Uncontested Shot,,,-ve Footwork: Long 2,,,+ve Positioning - Create Shape,,,Short 2,Miss Short,6z7,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,410.49522741666400,12.096984968337700,Miami Heat,4,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,+ve Footwork: Step to Ball,,,,+ve QB12: Strong Side,,3pt,Made,7z11,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,442.9923960033320,15.501721493671100,Miami Heat,5,,+ve Cutting & Screening: Denial,,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,+ve Footwork: Patient Pickup,+ve Passing: Read the Length,,,+ve QB12: Strong Side,-ve Relocate: Weak Corner,Short 2,Miss Long,5z5,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,478.0955135223290,7.599993649338730,Miami Heat,6,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Strong Side,,3pt,Made,8z2,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,534.4935261386630,13.59967285066900,Miami Heat,7,,,,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,-ve QB12: Fill Behind,"-ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Fouled,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,609.703349012999,7.4898971066677400,Miami Heat,8,,,,,,,-ve Passing: Read the Length,,,+ve QB12: Strong Side,,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,621.9913986263300,7.60077384566614,Miami Heat,9,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,-ve Relocate: 45 Cut,Short 2,Fouled,5z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.26.25 MIA v NYK Team,692.9901696549970,10.304140165667400,Miami Heat,10,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Fill Behind,,3pt,Miss Long,9z2,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
