Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
10.28.25 MIA v CHA Team,89.18994251332220,1.250941769677840,Miami Heat,1,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,90.18586715799090,9.607848404678280,Miami Heat,2,,-ve Cutting & Screening: Principle,,,,,"+ve Passing: Teammate on the Move, +ve Passing: Read the Length",,,+ve QB12: Roller,"+ve Relocate: Weak Corner, +ve Relocate: Fill Behind",Deep 2,Made,4z7,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,118.49445907966000,17.300026656671100,Miami Heat,3,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Swing, -ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Fill Behind, +ve Relocate: Slide Away",3pt,Miss Long,8z10,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,145.39450918465600,15.69826560466320,Miami Heat,4,,,+ve DM Catch: Drive Pass,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,"-ve QB12: Cutter, -ve QB12: Strong Side","+ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Miss Short,6z7,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,170.89047463999900,13.606308261653300,Miami Heat,5,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill",,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,+ve QB12: Baseline,,Short 2,Miss Long,5z5,,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,194.5950652129910,12.196956097334000,Miami Heat,6,,,,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,"Miss Long, Miss Long",4z5,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,220.09478899599100,6.799740968671900,Miami Heat,7,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,,,-ve Relocate: Slide Away,Short 2,Made,5z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,241.8964723166620,7.997818944332490,Miami Heat,8,,,,,+ve Finishing: Earn a Foul,,+ve Passing: Teammate on the Move,,,,,Short 2,Fouled,4z5,,"+ve Transition: Pitch Ahead, +ve Transition: Effort and Pace","Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,311.39464374032300,11.70016202800240,Miami Heat,9,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,+ve Relocate: Fill Behind,Short 2,Made,5z7,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,334.6959722029960,14.896553381673700,Miami Heat,10,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill",+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,,+ve Passing: Read the Length,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Strong Side","-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",3pt,Made,3z1,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,367.89531074231500,6.897017625010730,Miami Heat,11,,,,,,,-ve Passing: Teammate on the Move,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.28.25 MIA v CHA Team,417.0952622646710,14.29910736299700,Miami Heat,12,,,+ve DM Catch: Uncontested Shot,,+ve Finishing: Read the Length,,,,,,,"3pt, Short 2",Miss Long,"8z2, 5z7",,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
