Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.17.25 MIA v NYK Team,246.79150716726600,15.60285542970960,Miami Heat,1,,+ve Cutting & Screening: Denial,,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,,"+ve Relocate: Weak Corner, +ve Relocate: Fill Behind",Short 2,Miss Long,5z8,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,278.09490322397800,14.500934557288100,Miami Heat,2,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,+ve Relocate: Dunker- Baseline Cut,Short 2,Miss Short,5z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,307.3944331366560,15.298894734311300,Miami Heat,3,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,-ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Made,6z7,"-ve Space Read: Catch, +ve Space Read: Live Dribble",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,394.2927821572940,10.601284265373800,Miami Heat,4,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"-ve Finishing: Ball Security, -ve Finishing: Earn a Foul",,,,,,-ve Relocate: Weak Corner,,,,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,497.5947529682750,13.399582547069400,Miami Heat,5,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Denial, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,,3pt,Miss Long,8z1,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,519.3956717476570,6.999985855697450,Miami Heat,6,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Stride Holds",,+ve Passing: Teammate on the Move,,,,,Deep 2,Made,4z7,,+ve Transition: Pitch Ahead,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,538.8942268539730,10.501206228027500,Miami Heat,7,,,,,,-ve Footwork: Patient Pickup,,,,,,3pt,Miss Long,9z1,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,545.9935061669930,14.901313020303700,Miami Heat,8,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side",-ve Relocate: Slide Away,3pt,Made,2z1,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,579.492901999312,8.101209956675010,Miami Heat,9,,,,+ve Driving: Paint Touch,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,,,,,,Short 2,Made,5z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,608.2917201553110,12.202860345019400,Miami Heat,10,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Denial",,,,-ve Footwork: Patient Pickup,,,,,,3pt,Miss Long,10z4,-ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,648.4947451706570,21.49944288000220,Miami Heat,11,,,,+ve Driving: Paint Touch,-ve Finishing: Read the Length,,,,-ve Positioning - Create Shape,"-ve QB12: Strong Side, -ve QB12: Baseline","+ve Relocate: Weak Corner, -ve Relocate: Corner Fill",Short 2,Miss Short,5z7,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,679.9955608360040,19.399529552968100,Miami Heat,12,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement","+ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,,"-ve Footwork: Step to Ball, -ve Footwork: Step to Ball",+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,,"-ve Relocate: Fill Behind, +ve Relocate: Reverse Direction, -ve Relocate: Dunker- Baseline Cut",3pt,Miss Short,5z11,"+ve Space Read: Live Dribble, -ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,716.3943576419590,11.00283500035540,Miami Heat,13,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Principle",,+ve Driving: Paint Touch,"-ve Finishing: Ball Security, -ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,+ve Relocate: Weak Corner,Short 2,Miss Long,4z4,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,937.9925698519830,4.601651947684790,Miami Heat,14,,,,,+ve Finishing: Physicality,,+ve Passing: Teammate on the Move,,,,,Short 2,Made,5z8,,+ve Transition: Pitch Ahead,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,979.8945934716650,4.300195781315440,Miami Heat,15,,,,,,,-ve Passing: Read the Length,,,,+ve Relocate: Fill Behind,,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,991.394228181657,16.396618872652400,Miami Heat,16,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, -ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,,+ve QB12: Strong Side,,3pt,Miss Long,7z11,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,1048.2917549436000,10.902802231401700,Miami Heat,17,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Holds, -ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,,"-ve Relocate: Weak Corner, -ve Relocate: Corner Fill",Short 2,Miss Short,6z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,1076.4955112746400,13.199299526314200,Miami Heat,18,,+ve Cutting & Screening: Movement,,,-ve Finishing: Earn a Foul,-ve Footwork: Patient Pickup,,,,,,Long 2,Miss Short,7z10a,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,1100.0951199329700,8.223483066657080,Miami Heat,19,,,,,,,-ve Passing: Teammate on the Move,,,,,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.17.25 MIA v NYK Team,1137.6948947789800,12.100094176004200,Miami Heat,20,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Strong Side","-ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind",3pt,Miss Long,6z1,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
