Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.2.25 MIA v LAL Team,23.192734806674800,10.198018915953900,Miami Heat,1,,,,,,,,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,50.79092615098790,10.601799422981800,Miami Heat,2,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Uncontested Shot",,,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Strong Side","-ve Relocate: Weak Corner, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",3pt,Miss Long,3z11,"-ve Space Read: Catch, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,99.09391581832590,13.999978298309000,Miami Heat,3,,"+ve Cutting & Screening: Denial, -ve Cutting & Screening: Cut Fill",,,-ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,-ve Positioning - Create Shape,"+ve QB12: Cutter, +ve QB12: Baseline",+ve Relocate: Dunker- Baseline Cut,Deep 2,Made,3z6,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,123.50603909734100,14.288922254295700,Miami Heat,4,,-ve Cutting & Screening: Cut Fill,+ve DM Catch: Swing,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Strong Side","+ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Miss Long,5z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,148.0933663949840,25.403509568660000,Miami Heat,5,,-ve Cutting & Screening: Cut Fill,"+ve DM Catch: Swing, -ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Physicality, +ve Driving: Paint Touch",,"+ve Footwork: Step to Ball, -ve Footwork: Step to Ball, +ve Footwork: Patient Pickup",,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side","-ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut",3pt,Miss Short,7z1,"+ve Space Read: Live Dribble, -ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,170.49397833564400,7.900584224346200,Miami Heat,6,,,,,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,+ve Passing: Teammate on the Move,,,+ve QB12: Cutter,+ve Relocate: 45 Cut,Short 2,Made,4z5,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,197.59513120798200,8.398817461992590,Miami Heat,7,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"+ve Finishing: Physicality, +ve Finishing: Earn a Foul",,,,,+ve QB12: Weak Side,-ve Relocate: Slide Away,Deep 2,Fouled,4z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,327.4945988686580,10.899129464319700,Miami Heat,8,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,,,,,,3pt,Miss Short,4z11,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,349.29089694230400,13.803830147337500,Miami Heat,9,,,+ve DM Catch: Uncontested Shot,,,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Weak Side,+ve Relocate: 45 Cut,3pt,Made,6z1,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,381.1920100409620,18.601267479369800,Miami Heat,10,,-ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,"-ve Finishing: Ball Security, +ve Finishing: Stride Pivot, -ve Finishing: Read the Length",+ve Footwork: Step to Ball,,,-ve Positioning - Create Shape,-ve QB12: Baseline,"-ve Relocate: Fill Behind, +ve Relocate: Slide Away",Short 2,Miss Long,5z7,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,464.1951883080010,17.000102977317400,Miami Heat,11,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass","-ve Driving: Paint Touch, +ve Driving: Paint Touch",,+ve Footwork: Step to Ball,,,,+ve QB12: Strong Side,"-ve Relocate: 45 Cut, +ve Relocate: Corner Fill, +ve Relocate: Dunker- Baseline Cut",,,,"+ve Space Read: Catch, -ve Space Read: Catch, -ve Space Read: Live Dribble",+ve Transition: Pitch Ahead,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,506.9912690433160,6.303375084665900,Miami Heat,12,,+ve Cutting & Screening: Principle,,,-ve Finishing: Ball Security,,,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,527.7952558026580,12.99536492597870,Miami Heat,13,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Drive a Swing/Skip Pass,,,,-ve Passing: Read the Length,,-ve Positioning - Create Shape,,"+ve Relocate: Reverse Direction, +ve Relocate: Weak Corner",,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,553.2918598949840,8.501700725665610,Miami Heat,14,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,+ve Finishing: Physicality,,,,+ve Positioning - Create Shape,,+ve Relocate: Weak Corner,Short 2,Made,4z5,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,780.4952181296530,6.596815762665760,Miami Heat,15,,+ve Cutting & Screening: Principle,,,,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Roller,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away",Deep 2,Made,4z7,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,805.6923362806340,9.004397740004150,Miami Heat,16,,,,,,,-ve Passing: Read the Length,,,,,,,,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,831.4924690606330,8.099123577006590,Miami Heat,17,,,,+ve Driving: Paint Touch,,,+ve Passing: Read the Length,,+ve Positioning - Create Shape,+ve QB12: Baseline,"-ve Relocate: Dunker- Baseline Cut, -ve Relocate: Corner Fill, -ve Relocate: Fill Behind",Short 2,Made,4z5,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1106.5964452496500,11.299959621019800,Miami Heat,18,,-ve Cutting & Screening: Principle,,,"+ve Finishing: Physicality, +ve Finishing: Earn a Foul",,,,-ve Positioning - Create Shape,,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away, +ve Relocate: Fill Behind",Deep 2,Fouled,4z6,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1192.4939487093200,5.898644754656290,Miami Heat,19,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,,+ve Relocate: Slide Away,Deep 2,Made,4z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1298.1925257903300,9.302216878993930,Miami Heat,20,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,+ve Positioning - Create Shape,,,3pt,Miss Long,3z11,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1397.2950125140000,9.99682873897359,Miami Heat,21,,,"-ve DM Catch: Swing, +ve DM Catch: Back-to-Back",,+ve Finishing: Earn a Foul,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Fill Behind,+ve Relocate: 45 Cut,Short 2,Fouled,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1482.4965354159900,9.99647912498699,Miami Heat,22,,,+ve DM Catch: Uncontested Shot,,,,,,,+ve QB12: Strong Side,,3pt,Miss Long,3z11,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1513.494493164980,12.198505040686100,Miami Heat,23,,,+ve DM Catch: Uncontested Shot,,,,+ve Passing: Teammate on the Move,,,+ve QB12: Weak Side,+ve Relocate: Corner Fill,3pt,Miss Long,3z1,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1538.5962963269700,7.60081554270505,Miami Heat,24,,,"-ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,+ve Finishing: Earn a Foul,,,,,,,3pt,Fouled,3z1,-ve Space Read: Catch,+ve Transition: Pitch Ahead,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1846.191310134320,26.202694408004600,Miami Heat,25,,"-ve Cutting & Screening: Denial, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side",,3pt,Miss Right,5z11,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1919.8918155889800,12.702287571665700,Miami Heat,26,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,"-ve Finishing: Read the Length, -ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,"+ve QB12: Skip Pass, -ve QB12: Weak Side","+ve Relocate: Corner Fill, +ve Relocate: Fill Behind",Short 2,Miss Short,4z4,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,1938.0943158033100,10.5000818543499,Miami Heat,27,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,+ve Finishing: Read the Length,,,,,"+ve QB12: Strong Side, -ve QB12: Weak Side",,Short 2,Made,4z4,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2005.5922848346500,7.335168040325930,Miami Heat,28,,,,,+ve Finishing: Earn a Foul,,,,,,,Short 2,Fouled,5z8,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2096.5925091513,13.301160931684500,Miami Heat,29,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"-ve Finishing: Stride Pivot, -ve Finishing: Read the Length, -ve Finishing: Earn a Foul",,,,"+ve Positioning - Create Shape, +ve Positioning - Create Shape","-ve QB12: Weak Side, -ve QB12: Cutter","+ve Relocate: Fill Behind, +ve Relocate: 45 Cut, +ve Relocate: Reverse Direction",Short 2,Miss Long,6z5,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2290.4402079166400,16.329729478314700,Miami Heat,30,,-ve Cutting & Screening: Principle,"+ve DM Catch: Drive Pass, +ve DM Catch: Swing",,+ve Finishing: Earn a Foul,+ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Fill Behind, +ve QB12: Weak Side","-ve Relocate: Weak Corner, +ve Relocate: Fill Behind",3pt,Fouled,8z2,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2465.6648754163400,14.080983006349900,Miami Heat,31,,"-ve Cutting & Screening: Movement, -ve Cutting & Screening: Denial",+ve DM Catch: Drive a Swing/Skip Pass,,,,,,,+ve QB12: Fill Behind,"+ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut",,,,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2518.4677559933200,13.098820369293200,Miami Heat,32,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,+ve Footwork: Step to Ball,,,-ve Positioning - Create Shape,+ve QB12: Fill Behind,"+ve Relocate: 45 Cut, +ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Miss Long,5z8,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2548.8685342480200,5.798336249615660,Miami Heat,33,,,,,,,-ve Passing: Read the Length,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2561.365845670990,6.402935865033210,Miami Heat,34,,,,+ve Driving: Paint Touch,+ve Finishing: Physicality,,,,,,,Short 2,Made,6z7,,"+ve Transition: Effort and Pace, +ve Transition: Pitch Ahead","Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2582.5646584756600,14.505344123986100,Miami Heat,35,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Baseline,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Slide Away",Deep 2,Fouled,4z7,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2679.5659783913300,11.102562462283900,Miami Heat,36,,,"+ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Swing, -ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,-ve Relocate: Weak Corner,3pt,Miss Long,8z2,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2701.264408649960,14.402205083712500,Miami Heat,37,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,+ve QB12: Weak Side,"+ve Relocate: 45 Cut, -ve Relocate: Fill Behind",3pt,Miss Long,5z11,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2730.4693412309500,7.200996377353020,Miami Heat,38,,,,,"+ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,+ve Passing: Teammate on the Move,,,,,Deep 2,Miss Short,4z7,,"+ve Transition: Effort and Pace, +ve Transition: Pitch Ahead","Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2817.1713976536500,12.696203727296100,Miami Heat,39,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Swing, -ve DM Catch: Uncontested Shot",,,"+ve Footwork: Step to Ball, -ve Footwork: Step to Ball",,,,+ve QB12: Weak Side,"-ve Relocate: 45 Cut, +ve Relocate: Fill Behind, +ve Relocate: Reverse Direction",3pt,Miss Long,7z11,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, UVA 0 - 0 OPP, Q0",,
11.2.25 MIA v LAL Team,2838.96908141731,11.598137602020400,Miami Heat,40,,,"+ve DM Catch: Swing, -ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,,3pt,Miss Short,2z1,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,2868.7673003220100,19.200753713615100,Miami Heat,41,,"-ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,,+ve QB12: Fill Behind,"-ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut, -ve Relocate: Weak Corner, +ve Relocate: Slide Away",Short 2,Fouled,5z7,"+ve Space Read: Catch, -ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3125.765626190330,17.101899908011500,Miami Heat,42,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, -ve Cutting & Screening: Denial","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Paint Touch","+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",-ve Footwork: Step to Ball,-ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Weak Side,"-ve Relocate: 45 Cut, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind, -ve Relocate: Weak Corner, +ve Relocate: Fill Behind",Short 2,Miss Long,6z7,"+ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3150.2677345743300,12.79954337966500,Miami Heat,43,,"+ve Cutting & Screening: Denial, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Made,4z5,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3179.4674950156700,11.599073758292900,Miami Heat,44,,,,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,,+ve Relocate: Dunker- Baseline Cut,Short 2,Miss Short,5z8,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3235.7706458072900,8.596637059004020,Miami Heat,45,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,,,,,,,3pt,Made,7z1,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3261.7666691789700,7.700970712326130,Miami Heat,46,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,-ve QB12: Strong Side,-ve Relocate: Weak Corner,Short 2,Miss Long,4z5,-ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3277.7172944957000,7.2517012952903300,Miami Heat,47,,,,,,,-ve Passing: Read the Length,,,,,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3466.6652247063200,17.603324001306600,Miami Heat,48,,"+ve Cutting & Screening: Denial, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Principle",+ve DM Catch: Back-to-Back,+ve Driving: Paint Touch,-ve Finishing: Read the Length,-ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Fill Behind, -ve QB12: Strong Side","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",Short 2,Miss Short,4z5,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3495.067264716710,15.100015323936500,Miami Heat,49,,"-ve Cutting & Screening: Denial, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,,,,,,,,,,,,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3640.36894179732,16.597473991343100,Miami Heat,50,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Denial",-ve DM Catch: Swing,"+ve Driving: Paint Touch, +ve Driving: Paint Touch",,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction, +ve Relocate: Weak Corner, +ve Relocate: Slide Away",,,,"-ve Space Read: Live Dribble, +ve Space Read: Live Dribble",,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3717.7949846716300,13.870471878019100,Miami Heat,51,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Fill Behind, -ve QB12: Fill Behind, +ve QB12: Strong Side","+ve Relocate: Weak Corner, +ve Relocate: Fill Behind",3pt,Miss Short,6z1,"+ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3805.4700302790200,5.296981809668520,Miami Heat,52,,,,,-ve Finishing: Ball Security,,,,,,,,,,,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3822.0667792366200,10.246804220998500,Miami Heat,53,,,+ve DM Catch: Uncontested Shot,,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,+ve Relocate: Dunker- Baseline Cut,3pt,Made,7z1,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3889.666385907330,5.499376939627840,Miami Heat,54,,+ve Cutting & Screening: Principle,,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,,-ve Relocate: Weak Corner,Short 2,Made,5z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3905.5676979742800,12.899820207034700,Miami Heat,55,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Swing,,,+ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,,3pt,Made,8z10,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3943.868173420940,12.799328076994700,Miami Heat,56,,,,,,,,,,,,,,,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,3963.568236503350,16.69804632961860,Miami Heat,57,,,,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,,-ve Relocate: Dunker- Baseline Cut,Short 2,Fouled,5z7,-ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.2.25 MIA v LAL Team,4705.112214899970,15.501753892317500,Miami Heat,58,,+ve Cutting & Screening: Principle,,,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,+ve Passing: Read the Length,,+ve Positioning - Create Shape,"+ve QB12: Roller, -ve QB12: Strong Side",+ve Relocate: Dunker- Baseline Cut,Short 2,Made,5z7,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
