Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.3.25 MIA v LAC Team,263.09257099063900,10.604007146349400,Miami Heat,1,,+ve Cutting & Screening: Principle,,,"+ve Finishing: Ball Security, +ve Finishing: Read the Length",,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Roller, -ve QB12: Strong Side",,Deep 2,Made,4z6,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,292.79404606897500,11.299162710334700,Miami Heat,2,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Principle",,,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,-ve QB12: Fill Behind,,Short 2,Made,5z7,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,320.2926847163240,11.800161655353200,Miami Heat,3,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,,"-ve Footwork: Step to Ball, +ve Footwork: Patient Pickup",,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side",,Short 2,Miss Long,6z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,329.69450402561200,9.799723634392310,Miami Heat,4,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,,3pt,Made,7z11,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,358.9938238383130,11.698022939333800,Miami Heat,5,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",-ve Driving: Paint Touch,,,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Weak Side",,3pt,Made,9z10,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,386.29367767968500,10.102050517951300,Miami Heat,6,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,,+ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,-ve Relocate: Weak Corner,Short 2,Made,6z5,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,638.6907075713420,12.703473935262000,Miami Heat,7,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,,"-ve Footwork: Step to Ball, -ve Footwork: Patient Pickup",+ve Passing: Teammate on the Move,,"+ve Positioning - Create Shape, +ve Positioning - Create Shape",+ve QB12: Baseline,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Made,5z7,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,669.9918315079960,12.90315482499970,Miami Heat,8,,+ve Cutting & Screening: Denial,,+ve Driving: Paint Touch,-ve Finishing: Earn a Foul,-ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,"-ve Relocate: 45 Cut, +ve Relocate: Fill Behind",Short 2,Miss Long,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,700.8951223979850,16.00299264071500,Miami Heat,9,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,,+ve Passing: Read the Length,,+ve Positioning - Create Shape,+ve QB12: Weak Side,"-ve Relocate: 45 Cut, +ve Relocate: Fill Behind",3pt,Miss Short,9z10,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.3.25 MIA v LAC Team,727.3932061656530,13.703524747989300,Miami Heat,10,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",-ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"+ve Finishing: Read the Length, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,,-ve Relocate: Dunker- Baseline Cut,Short 2,Fouled,5z7,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
