Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped
10.12.25 MIA v ORL Team,212.69375975230200,18.200897007001400,Miami Heat,1,,+ve Cutting & Screening: Movement,"-ve DM Catch: Swing, -ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,+ve Passing: Teammate on the Move,,,"+ve QB12: Strong Side, +ve QB12: Fill Behind","+ve Relocate: Fill Behind, +ve Relocate: Dunker- Baseline Cut, +ve Relocate: Dunker- Baseline Cut",Short 2,Miss Short,6z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,225.99439881333900,5.400015434331350,Miami Heat,2,,,,,+ve Finishing: Earn a Foul,,,,,,,Deep 2,Fouled,4z7,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,331.79237549431700,15.298862102670400,Miami Heat,3,,,+ve DM Catch: Uncontested Shot,,,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: 45 Cut",3pt,Miss Long,4z1,+ve Space Read: Live Dribble,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,374.993564972323,21.700832164336300,Miami Heat,4,,"+ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement","+ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot","+ve Driving: Paint Touch, +ve Driving: Physicality",,"-ve Footwork: Step to Ball, -ve Footwork: Step to Ball, +ve Footwork: Step to Ball",,,+ve Positioning - Create Shape,+ve QB12: Fill Behind,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: 45 Cut",3pt,Miss Right,11z5,"-ve Space Read: Catch, -ve Space Read: Catch, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,412.8747667003170,13.219067473321600,Miami Heat,5,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",-ve DM Catch: Drive a Swing/Skip Pass,,,"-ve Footwork: Patient Pickup, -ve Footwork: Long 2",,,+ve Positioning - Create Shape,,,Short 2,Miss Short,7z4,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,491.596190119333,8.200378148312100,Miami Heat,6,,,,,,,,,,,,,,,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,516.7921372636430,9.0002588196661,Miami Heat,7,,,,,,,-ve Passing: Read the Length,,,,+ve Relocate: Fill Behind,,,,+ve Space Read: Live Dribble,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,537.5954463083330,2.6990755836460500,Miami Heat,8,,,,,,,-ve Passing: Read the Length,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,547.6929017136530,9.70292899433423,Miami Heat,9,,+ve Cutting & Screening: Principle,,,"+ve Finishing: Ball Security, +ve Finishing: Earn a Foul",,+ve Passing: Read the Length,,+ve Positioning - Create Shape,+ve QB12: Baseline,"+ve Relocate: Weak Corner, -ve Relocate: Corner Fill",Short 2,Made,5z5,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
10.12.25 MIA v ORL Team,587.8944192266720,9.800003109984000,Miami Heat,10,,,,,"-ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,+ve Passing: Teammate on the Move,,,"+ve QB12: Cutter, -ve QB12: Baseline",,Short 2,Miss Short,5z7,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP"
