Table 1
Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
10.24.25 MIA v MEM Team,40.39251142960660,16.602211242950100,Miami Heat,1,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,-ve QB12: Weak Side,"-ve Relocate: Dunker- Baseline Cut, -ve Relocate: Reverse Direction, +ve Relocate: Fill Behind",Short 2,Miss Short,4z4,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,100.69350103760300,15.203447509405600,Miami Heat,2,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Denial",+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Weak Side,"+ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut",3pt,Made,7z11,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,127.68656706532500,10.309192941956600,Miami Heat,3,,,,"+ve Driving: Paint Touch, +ve Driving: Physicality",+ve Finishing: Stride Pivot,+ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: Weak Corner, +ve Relocate: Fill Behind, -ve Relocate: Slide Away",Short 2,Made,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,153.19458874273000,13.398623298531200,Miami Heat,4,,+ve Cutting & Screening: Movement,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, -ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,,"-ve Relocate: Dunker- Baseline Cut, -ve Relocate: Fill Behind, -ve Relocate: Slide Away",Short 2,Miss Long,6z7,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,164.39174117960100,5.801842903026310,Miami Heat,5,,,,,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,,,,Short 2,Fouled,4z5,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,235.79050273753900,8.2022718837122,Miami Heat,6,,,,,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,+ve Passing: Teammate on the Move,,,+ve QB12: Strong Side,,Short 2,Made,5z5,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,313.6947139389260,16.395885486025900,Miami Heat,7,,,"+ve DM Catch: Drive Pass, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Physicality, +ve Driving: Paint Touch",-ve Finishing: Earn a Foul,,,,-ve Positioning - Create Shape,-ve QB12: Cutter,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away, +ve Relocate: 45 Cut",Short 2,Miss Long,6z7,+ve Space Read: Catch,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,341.2930069833360,8.001185245937000,Miami Heat,8,,,,,,+ve Footwork: Patient Pickup,+ve Passing: Teammate on the Move,,,,,3pt,Made,8z2,,"+ve Transition: Effort and Pace, +ve Transition: Pitch Ahead","Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,363.2969378412730,16.692793577703100,Miami Heat,9,,+ve Cutting & Screening: Movement,-ve DM Catch: Swing,,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,-ve QB12: Fill Behind,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Fouled,5z5,-ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,452.2953874983960,14.598011718220500,Miami Heat,10,,"+ve Cutting & Screening: Principle, +ve Cutting & Screening: Cut Fill",,+ve Driving: Paint Touch,,,,,-ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",,,,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,494.3953134499470,12.495393085439100,Miami Heat,11,,,,,+ve Finishing: Earn a Foul,,,,,,,Short 2,Fouled,4z4,+ve Space Read: Catch,"+ve Transition: Pitch Ahead, +ve Transition: Effort and Pace","Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
10.24.25 MIA v MEM Team,560.0948418066370,7.5034447657042200,Miami Heat,12,,,,,+ve Finishing: Earn a Foul,,+ve Passing: Teammate on the Move,,,+ve QB12: Cutter,,Short 2,Fouled,5z7,,+ve Transition: Effort and Pace,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
