Timeline,Start time,Duration,Row,Instance number,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,Collective Coordination,Cutting & Screeing,DATE,DM Catch,Driving,Finishing,Footwork,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,Passing,Points,Positioning,QB12 DM,RESULT,Relocation,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Location,Shot Outcome,Shot Specific,Space Read,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Transition,Ungrouped,Notes,Flags
06.21.25 KP v MIN Offense,6.19248596365507,9.19975149065305,KP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,17.1898912729876,9.09245268898258,KP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,26.8956453843226,15.603001632651,KP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,47.3922918649853,10.3012707240066,KP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-ve Passing: Teammate on the Move,,,,,,,,,,,,,,-ve Space Read: Catch,,,,,"Turnover, Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,58.892735982001106,12.0002218249619,KP,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,90.3957150956351,3.19718582733763,KP,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,97.994806000321,7.697204331000861,KP,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,112.693774165318,17.7011455063482,KP,8,,,,,,,,,,,-ve Footwork: Step to Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve Relocate: Slide Away,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,131.793040047324,11.8041196766843,KP,9,,,,,,,,+ve DM Catch: Swing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve Relocate: Slide Away,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
06.21.25 KP v MIN Offense,144.492486337672,17.1003604279822,KP,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+ve Relocate: Slide Away,,,,,,,,,,,,,,"Neutral, Match 3, Stat, Q0, UVA 0 - 0 OPP",,
